date and time,water level (m)
2016-01-01 00:00:00,            0.2
2016-01-01 00:20:00,      -0.469597
2016-01-01 00:40:00,      -0.430898
2016-01-01 01:00:00,       -0.36079
2016-01-01 01:20:00,      -0.241022
2016-01-01 01:40:00,      -0.170973
2016-01-01 02:00:00,     -0.0672898
2016-01-01 02:20:00,      0.0184032
2016-01-01 02:40:00,      0.0861133
2016-01-01 03:00:00,       0.161982
2016-01-01 03:20:00,       0.202291
2016-01-01 03:40:00,       0.244358
2016-01-01 04:00:00,       0.268319
2016-01-01 04:20:00,       0.316061
2016-01-01 04:40:00,       0.358863
2016-01-01 05:00:00,       0.411544
2016-01-01 05:20:00,        0.46577
2016-01-01 05:40:00,       0.489356
2016-01-01 06:00:00,       0.505564
2016-01-01 06:20:00,       0.488829
2016-01-01 06:40:00,       0.451207
2016-01-01 07:00:00,       0.398832
2016-01-01 07:20:00,       0.322218
2016-01-01 07:40:00,       0.242735
2016-01-01 08:00:00,        0.15566
2016-01-01 08:20:00,      0.0721312
2016-01-01 08:40:00,    -0.00236609
2016-01-01 09:00:00,     -0.0714691
2016-01-01 09:20:00,      -0.133093
2016-01-01 09:40:00,       -0.18948
2016-01-01 10:00:00,      -0.244907
2016-01-01 10:20:00,      -0.290502
2016-01-01 10:40:00,      -0.335199
2016-01-01 11:00:00,      -0.366134
2016-01-01 11:20:00,      -0.392517
2016-01-01 11:40:00,      -0.406922
2016-01-01 12:00:00,      -0.411349
2016-01-01 12:20:00,      -0.405802
2016-01-01 12:40:00,      -0.390763
2016-01-01 13:00:00,      -0.364196
2016-01-01 13:20:00,      -0.329732
2016-01-01 13:40:00,      -0.281241
2016-01-01 14:00:00,      -0.224647
2016-01-01 14:20:00,      -0.159788
2016-01-01 14:40:00,     -0.0855082
2016-01-01 15:00:00,     -0.0116864
2016-01-01 15:20:00,      0.0663882
2016-01-01 15:40:00,       0.140563
2016-01-01 16:00:00,       0.209905
2016-01-01 16:20:00,       0.273452
2016-01-01 16:40:00,        0.32416
2016-01-01 17:00:00,       0.362055
2016-01-01 17:20:00,       0.386001
2016-01-01 17:40:00,       0.393579
2016-01-01 18:00:00,       0.392829
2016-01-01 18:20:00,        0.38387
2016-01-01 18:40:00,       0.369652
2016-01-01 19:00:00,       0.351163
2016-01-01 19:20:00,       0.325529
2016-01-01 19:40:00,       0.292217
2016-01-01 20:00:00,       0.250191
2016-01-01 20:20:00,       0.198687
2016-01-01 20:40:00,       0.140567
2016-01-01 21:00:00,       0.075915
2016-01-01 21:20:00,     0.00740994
2016-01-01 21:40:00,     -0.0610252
2016-01-01 22:00:00,      -0.128243
2016-01-01 22:20:00,      -0.189802
2016-01-01 22:40:00,      -0.243702
