date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,             -0,              0
2016-01-01 00:20:00,      -0.175503,       0.709908
2016-01-01 00:40:00,      0.0180058,       0.450082
2016-01-01 01:00:00,      0.0935285,       0.323108
2016-01-01 01:20:00,       0.146298,       0.307695
2016-01-01 01:40:00,       0.114936,        0.19295
2016-01-01 02:00:00,      0.0928325,       0.163249
2016-01-01 02:20:00,      0.0177134,       0.092093
2016-01-01 02:40:00,      0.0222529,      -0.056359
2016-01-01 03:00:00,      0.0233304,     -0.0561767
2016-01-01 03:20:00,        0.11499,     -0.0792349
2016-01-01 03:40:00,       0.178523,      -0.117886
2016-01-01 04:00:00,       0.159971,      -0.057024
2016-01-01 04:20:00,      0.0491083,     -0.0175644
2016-01-01 04:40:00,      0.0111271,      0.0624855
2016-01-01 05:00:00,     -0.0285148,      0.0975756
2016-01-01 05:20:00,      -0.014516,       0.123812
2016-01-01 05:40:00,      0.0866212,       0.137774
2016-01-01 06:00:00,      0.0994571,       0.100919
2016-01-01 06:20:00,       0.049698,      0.0615677
2016-01-01 06:40:00,     0.00370199,     -0.0115411
2016-01-01 07:00:00,      -0.027397,     -0.0450017
2016-01-01 07:20:00,     0.00133166,      -0.052389
2016-01-01 07:40:00,      0.0649154,     -0.0684125
2016-01-01 08:00:00,      0.0661374,     -0.0302335
2016-01-01 08:20:00,      0.0617874,     0.00276409
2016-01-01 08:40:00,      0.0118553,      0.0226299
2016-01-01 09:00:00,     -0.0427225,      0.0599208
2016-01-01 09:20:00,     -0.0441774,      0.0671365
2016-01-01 09:40:00,     -0.0324988,      0.0872764
2016-01-01 10:00:00,    -0.00138464,      0.0883741
2016-01-01 10:20:00,      0.0283429,       0.070889
2016-01-01 10:40:00,      0.0135025,      0.0600787
2016-01-01 11:00:00,    -0.00421192,       0.030236
2016-01-01 11:20:00,     -0.0399786,     0.00618884
2016-01-01 11:40:00,     -0.0517399,     -0.0154956
2016-01-01 12:00:00,     -0.0404783,      -0.031924
2016-01-01 12:20:00,     -0.0288917,     -0.0359155
2016-01-01 12:40:00,    -0.00299667,      -0.043682
2016-01-01 13:00:00,     0.00548892,     -0.0324184
2016-01-01 13:20:00,    -0.00546549,     -0.0283195
2016-01-01 13:40:00,     -0.0283752,     -0.0234697
2016-01-01 14:00:00,     -0.0561109,    -0.00705103
2016-01-01 14:20:00,     -0.0594479,    0.000804025
2016-01-01 14:40:00,     -0.0573095,       0.015998
2016-01-01 15:00:00,     -0.0376496,       0.023409
2016-01-01 15:20:00,     -0.0190615,      0.0214961
2016-01-01 15:40:00,     -0.0251146,      0.0191665
2016-01-01 16:00:00,     -0.0347905,    -0.00284663
2016-01-01 16:20:00,      -0.051528,     -0.0206493
2016-01-01 16:40:00,     -0.0552271,     -0.0351226
2016-01-01 17:00:00,     -0.0358323,      -0.052859
2016-01-01 17:20:00,     -0.0265551,     -0.0524139
2016-01-01 17:40:00,     -0.0184278,     -0.0509057
2016-01-01 18:00:00,     -0.0230122,     -0.0467694
2016-01-01 18:20:00,     -0.0457208,     -0.0317487
