date and time,x component of depth averaged velocity (m/s),y component of depth averaged velocity (m/s)
2016-01-01 00:00:00,              0,              0
2016-01-01 00:20:00,      0.0570911,      -0.372626
2016-01-01 00:40:00,     -0.0457547,      -0.430241
2016-01-01 01:00:00,      -0.274047,      -0.256968
2016-01-01 01:20:00,      -0.336777,      -0.348217
2016-01-01 01:40:00,      -0.364674,      -0.376509
2016-01-01 02:00:00,      -0.399098,       -0.44117
2016-01-01 02:20:00,      -0.410925,      -0.486349
2016-01-01 02:40:00,      -0.465932,       -0.52139
2016-01-01 03:00:00,      -0.502718,      -0.519982
2016-01-01 03:20:00,      -0.519797,      -0.531918
2016-01-01 03:40:00,       -0.53851,      -0.524832
2016-01-01 04:00:00,      -0.542574,      -0.555041
2016-01-01 04:20:00,      -0.540651,      -0.578654
2016-01-01 04:40:00,      -0.551232,      -0.596486
2016-01-01 05:00:00,      -0.558866,      -0.605234
2016-01-01 05:20:00,      -0.564418,      -0.611627
2016-01-01 05:40:00,      -0.565704,       -0.61826
2016-01-01 06:00:00,      -0.564548,      -0.634699
2016-01-01 06:20:00,      -0.576326,      -0.654793
2016-01-01 06:40:00,      -0.611216,       -0.69225
2016-01-01 07:00:00,      -0.661287,      -0.746721
2016-01-01 07:20:00,      -0.724528,      -0.817797
2016-01-01 07:40:00,      -0.796869,      -0.894829
2016-01-01 08:00:00,      -0.876073,      -0.969981
2016-01-01 08:20:00,      -0.956293,       -1.03828
2016-01-01 08:40:00,       -1.03266,       -1.09836
2016-01-01 09:00:00,       -1.10146,       -1.15244
2016-01-01 09:20:00,        -1.1382,       -1.19371
2016-01-01 09:40:00,       -1.14891,       -1.21591
2016-01-01 10:00:00,       -1.15255,       -1.21522
2016-01-01 10:20:00,       -1.15339,       -1.20364
2016-01-01 10:40:00,       -1.15441,       -1.19093
2016-01-01 11:00:00,       -1.15408,       -1.18221
2016-01-01 11:20:00,        -1.1519,       -1.17715
2016-01-01 11:40:00,       -1.14991,       -1.17183
2016-01-01 12:00:00,       -1.14889,       -1.16525
2016-01-01 12:20:00,       -1.14232,       -1.15647
2016-01-01 12:40:00,       -1.13077,       -1.14398
2016-01-01 13:00:00,        -1.1173,       -1.12775
2016-01-01 13:20:00,       -1.10296,       -1.10949
2016-01-01 13:40:00,       -1.08844,       -1.09091
2016-01-01 14:00:00,         -1.073,       -1.07357
2016-01-01 14:20:00,        -1.0563,       -1.05741
2016-01-01 14:40:00,       -1.03869,       -1.04133
2016-01-01 15:00:00,       -1.02001,       -1.02548
2016-01-01 15:20:00,      -0.994533,       -1.00382
2016-01-01 15:40:00,      -0.960215,      -0.975849
2016-01-01 16:00:00,      -0.922347,      -0.940943
2016-01-01 16:20:00,      -0.881407,      -0.903189
2016-01-01 16:40:00,      -0.838943,      -0.863278
2016-01-01 17:00:00,      -0.794473,      -0.823331
2016-01-01 17:20:00,      -0.748428,      -0.783472
2016-01-01 17:40:00,       -0.70186,      -0.742427
2016-01-01 18:00:00,      -0.654978,      -0.700506
2016-01-01 18:20:00,      -0.614203,      -0.663269
2016-01-01 18:40:00,      -0.582158,      -0.633816
2016-01-01 19:00:00,      -0.554322,      -0.612732
2016-01-01 19:20:00,       -0.52937,      -0.597652
2016-01-01 19:40:00,      -0.507947,      -0.584401
2016-01-01 20:00:00,      -0.489518,      -0.571751
2016-01-01 20:20:00,      -0.473698,      -0.559059
2016-01-01 20:40:00,      -0.459786,      -0.546856
2016-01-01 21:00:00,      -0.446998,       -0.53575
2016-01-01 21:20:00,      -0.437109,      -0.525834
2016-01-01 21:40:00,      -0.430934,      -0.517532
2016-01-01 22:00:00,      -0.427249,      -0.511426
2016-01-01 22:20:00,      -0.425468,      -0.507405
2016-01-01 22:40:00,      -0.425331,      -0.505061
2016-01-01 23:00:00,      -0.426801,      -0.503742
2016-01-01 23:20:00,      -0.430046,      -0.502459
2016-01-01 23:40:00,      -0.434355,      -0.501964
2016-01-02 00:00:00,      -0.439896,       -0.50146
2016-01-02 00:20:00,      -0.445198,      -0.500846
2016-01-02 00:40:00,      -0.449321,      -0.499658
2016-01-02 01:00:00,      -0.452822,        -0.4974
2016-01-02 01:20:00,      -0.455554,      -0.494585
2016-01-02 01:40:00,      -0.457617,      -0.491351
2016-01-02 02:00:00,      -0.458914,      -0.488083
2016-01-02 02:20:00,       -0.45916,      -0.485371
2016-01-02 02:40:00,      -0.458729,      -0.482727
2016-01-02 03:00:00,      -0.457356,      -0.480704
2016-01-02 03:20:00,       -0.45459,      -0.477847
2016-01-02 03:40:00,      -0.449691,       -0.47443
2016-01-02 04:00:00,      -0.443609,      -0.469643
2016-01-02 04:20:00,      -0.436392,      -0.464127
2016-01-02 04:40:00,      -0.427921,      -0.458218
2016-01-02 05:00:00,      -0.418487,      -0.451784
2016-01-02 05:20:00,      -0.408072,      -0.445242
2016-01-02 05:40:00,      -0.396946,      -0.438341
2016-01-02 06:00:00,      -0.385256,      -0.430971
