date and time,water level (m)
2016-01-01 00:00:00,            0.8
2016-01-01 00:20:00,       -1.12828
2016-01-01 00:40:00,      -0.245853
2016-01-01 01:00:00,      -0.130517
2016-01-01 01:20:00,       -0.28796
2016-01-01 01:40:00,      -0.280472
2016-01-01 02:00:00,      -0.268186
2016-01-01 02:20:00,      -0.047307
2016-01-01 02:40:00,      0.0995918
2016-01-01 03:00:00,       0.187806
2016-01-01 03:20:00,       0.262182
2016-01-01 03:40:00,       0.285437
2016-01-01 04:00:00,       0.338049
2016-01-01 04:20:00,       0.399006
2016-01-01 04:40:00,       0.457103
2016-01-01 05:00:00,       0.511327
2016-01-01 05:20:00,       0.535175
2016-01-01 05:40:00,        0.52053
2016-01-01 06:00:00,       0.495494
2016-01-01 06:20:00,       0.447803
2016-01-01 06:40:00,       0.396875
2016-01-01 07:00:00,       0.365801
2016-01-01 07:20:00,       0.308615
2016-01-01 07:40:00,       0.237499
2016-01-01 08:00:00,       0.157386
2016-01-01 08:20:00,      0.0652039
2016-01-01 08:40:00,     -0.0197811
2016-01-01 09:00:00,     -0.0940394
2016-01-01 09:20:00,      -0.172833
2016-01-01 09:40:00,      -0.247738
2016-01-01 10:00:00,      -0.318808
2016-01-01 10:20:00,      -0.379899
2016-01-01 10:40:00,      -0.427842
2016-01-01 11:00:00,      -0.462786
2016-01-01 11:20:00,      -0.485435
2016-01-01 11:40:00,      -0.495419
2016-01-01 12:00:00,      -0.491272
2016-01-01 12:20:00,      -0.474727
2016-01-01 12:40:00,      -0.445231
2016-01-01 13:00:00,      -0.403888
2016-01-01 13:20:00,       -0.35172
2016-01-01 13:40:00,      -0.290802
2016-01-01 14:00:00,      -0.222082
2016-01-01 14:20:00,      -0.147539
2016-01-01 14:40:00,     -0.0710342
2016-01-01 15:00:00,     0.00629869
2016-01-01 15:20:00,      0.0826026
2016-01-01 15:40:00,        0.15561
2016-01-01 16:00:00,       0.223045
2016-01-01 16:20:00,         0.2835
2016-01-01 16:40:00,         0.3348
2016-01-01 17:00:00,        0.37592
2016-01-01 17:20:00,       0.405585
2016-01-01 17:40:00,       0.423036
2016-01-01 18:00:00,       0.428147
2016-01-01 18:20:00,       0.420306
2016-01-01 18:40:00,       0.400693
2016-01-01 19:00:00,       0.368991
2016-01-01 19:20:00,       0.326636
2016-01-01 19:40:00,       0.274962
2016-01-01 20:00:00,       0.215364
2016-01-01 20:20:00,        0.15015
2016-01-01 20:40:00,      0.0808253
2016-01-01 21:00:00,     0.00919991
2016-01-01 21:20:00,     -0.0625251
2016-01-01 21:40:00,       -0.13243
2016-01-01 22:00:00,      -0.198486
2016-01-01 22:20:00,      -0.258761
2016-01-01 22:40:00,      -0.311898
2016-01-01 23:00:00,      -0.356378
2016-01-01 23:20:00,      -0.391093
2016-01-01 23:40:00,      -0.415102
2016-01-02 00:00:00,      -0.427729
2016-01-02 00:20:00,      -0.428664
2016-01-02 00:40:00,      -0.418319
2016-01-02 01:00:00,      -0.396806
2016-01-02 01:20:00,      -0.365032
2016-01-02 01:40:00,      -0.323766
2016-01-02 02:00:00,      -0.274368
2016-01-02 02:20:00,      -0.218137
2016-01-02 02:40:00,      -0.157181
2016-01-02 03:00:00,     -0.0928654
2016-01-02 03:20:00,     -0.0263857
2016-01-02 03:40:00,      0.0393572
2016-01-02 04:00:00,       0.103366
2016-01-02 04:20:00,       0.163262
2016-01-02 04:40:00,       0.217596
2016-01-02 05:00:00,       0.265435
2016-01-02 05:20:00,       0.304864
2016-01-02 05:40:00,       0.335449
2016-01-02 06:00:00,       0.356188
2016-01-02 06:20:00,       0.366482
2016-01-02 06:40:00,         0.3667
2016-01-02 07:00:00,       0.356493
2016-01-02 07:20:00,       0.336321
2016-01-02 07:40:00,       0.307117
2016-01-02 08:00:00,       0.269399
2016-01-02 08:20:00,       0.224927
2016-01-02 08:40:00,        0.17481
2016-01-02 09:00:00,        0.12028
2016-01-02 09:20:00,      0.0611362
2016-01-02 09:40:00,    0.000653167
2016-01-02 10:00:00,     -0.0597012
2016-01-02 10:20:00,      -0.117506
2016-01-02 10:40:00,      -0.171732
2016-01-02 11:00:00,      -0.221015
2016-01-02 11:20:00,      -0.264043
2016-01-02 11:40:00,        -0.2998
2016-01-02 12:00:00,      -0.327138
2016-01-02 12:20:00,      -0.345429
2016-01-02 12:40:00,      -0.354259
2016-01-02 13:00:00,      -0.353679
2016-01-02 13:20:00,      -0.343784
2016-01-02 13:40:00,      -0.324992
2016-01-02 14:00:00,      -0.297734
2016-01-02 14:20:00,      -0.262841
2016-01-02 14:40:00,      -0.221331
2016-01-02 15:00:00,      -0.174801
2016-01-02 15:20:00,      -0.123711
2016-01-02 15:40:00,     -0.0704613
2016-01-02 16:00:00,     -0.0159633
2016-01-02 16:20:00,      0.0384022
2016-01-02 16:40:00,      0.0908706
2016-01-02 17:00:00,       0.140602
2016-01-02 17:20:00,       0.185742
2016-01-02 17:40:00,       0.225225
2016-01-02 18:00:00,       0.258155
2016-01-02 18:20:00,       0.283174
2016-01-02 18:40:00,       0.300405
2016-01-02 19:00:00,       0.309076
2016-01-02 19:20:00,       0.309185
2016-01-02 19:40:00,       0.301104
2016-01-02 20:00:00,       0.284776
2016-01-02 20:20:00,       0.260963
2016-01-02 20:40:00,       0.230225
2016-01-02 21:00:00,       0.193215
2016-01-02 21:20:00,       0.151132
2016-01-02 21:40:00,       0.105212
2016-01-02 22:00:00,      0.0565694
2016-01-02 22:20:00,     0.00664802
2016-01-02 22:40:00,     -0.0434621
2016-01-02 23:00:00,      -0.092328
2016-01-02 23:20:00,      -0.138462
2016-01-02 23:40:00,      -0.180858
2016-01-03 00:00:00,      -0.218282
2016-01-03 00:20:00,      -0.250064
