MOORING CODE :  1161
MOORING NAME : Richards Bay DWR4
MOORING DEPTH:   22.00
MOORING START: 2014-01-01 00:00
MOORING END  : 2018-06-30 21:30
LATITUDE     :  28.8272
LONGITUDE    :   32.1060
NO OF DEPTHS :  1
CLIENT       : TNPA
PLATFORM     : none
INSTR. DEPTH :   1.00
INSTR. START : 2014-01-01 00:00
INSTR. END   : 2018-06-30 21:30
SAMPLE INTERV:    0
INSTRUMENT NO: 000027
DEPLOYMENT NO: RB201311
INSTRUMENT TP: Directional Waverider Mk 4
NO OF RECORDS:  13136
NOTES:
--Date/Times were corrected to UTC.
--Direction converted to true north (-24 degrees)
--
--
--
QUALITY NOTES:
--
--
FORMAT:
:   1: 4: YEAR                         :                     >cdtyy  <
:   6: 2: MONTH                        :                     >cdtmm  <
:   9: 2: DAY                          :                     >cdtdd  <
:  12: 2: HOUR                         :                     >ctmhh  <
:  15: 2: MINUTE                       :                     >ctmmm  <
:  18: 8: Current Speed (m/s)          :   999.999:          >cs     <
:  26: 8: Current Direction (deg TN)   :     999.9:          >cd     <
:  34: 8: Water Temperature (deg C)    :     99.99:          >wt     <
:  42: 8: Vertical Velocity (m/s)      :     99.99:          >vv     <
:  50: 8: Current Speed filt. - 9h cut :     99.99:          >csf1   <
:  58: 8: Current Direc filt. - 9h cut :     999.9:          >cdf1   <
:  66: 8: Current Speed filt. 14.5h cut:     99.99:          >csf2   <
:  74: 8: Current Direc filt. 14.5h cut:     999.9:          >cdf2   <
:  82: 8: pH                           :     99.99:          >cwph   <
:  90: 8: Salinity (ppt)               :     99.99:          >cws    <
:  98: 8: Disolved oxygen (mls/l)      :     99.99:          >cwdo   <
: 106: 9: Pressure (dBar)              :  9999.999:          >pres   <
: 115: 9: Water level (m)              :  9999.999:          >wl     <
: 124: 8: Turbidity (NTU)              :   999.999:          >tu     <
DATA:
2014-01-01 00:00   0.064   278.0
2014-01-01 03:00   0.025   355.0
2014-01-01 06:00   0.009   222.0
2014-01-01 09:00   0.151   350.0
2014-01-01 12:00   0.079   346.0
2014-01-01 15:00   0.327    31.0
2014-01-01 18:00   0.285    45.0
2014-01-01 21:00   0.489    59.0
2014-01-02 00:00   0.488    65.0
2014-01-02 03:00   0.279    62.0
2014-01-02 06:00   0.065   127.0
2014-01-02 09:00   0.125   259.0
2014-01-02 12:00   0.247   276.0
2014-01-02 15:00   0.312   214.0
2014-01-02 18:00   0.416   219.0
2014-01-02 21:00   0.387   222.0
2014-01-03 00:00   0.289   215.0
2014-01-03 03:00   0.381   223.0
2014-01-03 06:00   0.466   217.0
2014-01-03 09:00   0.288   215.0
2014-01-03 12:00   0.487   232.0
2014-01-03 15:00   0.535   223.0
2014-01-03 18:00   0.476   210.0
2014-01-03 21:00   0.277   197.0
2014-01-04 00:00   0.148   244.0
2014-01-04 03:00   0.331   234.0
2014-01-04 06:00   0.209   190.0
2014-01-04 09:00   0.091   192.0
2014-01-04 12:00   0.388   255.0
2014-01-04 15:00   0.340   228.0
2014-01-04 18:00   0.363   205.0
2014-01-04 21:00   0.328   199.0
2014-01-05 00:00   0.297   179.0
2014-01-05 03:00   0.295   226.0
2014-01-05 06:00   0.447   216.0
2014-01-05 09:00   0.409   215.0
2014-01-05 12:00   0.473   225.0
2014-01-05 15:00   0.625   219.0
2014-01-05 18:00   0.674   219.0
2014-01-05 21:00   0.258   183.0
2014-01-06 00:00   0.098   225.0
2014-01-06 03:00   0.192   241.0
2014-01-06 06:00   0.424   230.0
2014-01-06 09:00   0.213   208.0
2014-01-06 12:00   0.156   252.0
2014-01-06 15:00   0.134   235.0
2014-01-06 18:00   0.050   170.0
2014-01-06 21:00   0.108    49.0
2014-01-07 00:00   0.262    39.0
2014-01-07 03:00   0.437    22.0
2014-01-07 06:00   0.572    30.0
2014-01-07 09:00   0.690    25.0
2014-01-07 12:00   0.803    13.0
2014-01-07 15:00   0.641     7.0
2014-01-07 18:00   0.384     9.0
2014-01-07 21:00   0.267    17.0
2014-01-08 00:00   0.241    19.0
2014-01-08 03:00   0.224    13.0
2014-01-08 06:00   0.162    14.0
2014-01-08 09:00   0.060     7.0
2014-01-08 12:00   0.120    19.0
2014-01-08 15:00   0.118    21.0
2014-01-08 18:00   0.048    60.0
2014-01-08 21:00   0.063   138.0
2014-01-09 00:00   0.112   164.0
2014-01-09 03:00   0.082   170.0
2014-01-09 06:00   0.085   153.0
2014-01-09 09:00   0.177   233.0
2014-01-09 12:00   0.381   224.0
2014-01-09 15:00   0.525   215.0
2014-01-09 18:00   0.614   218.0
2014-01-09 21:00   0.474   207.0
2014-01-10 00:00   0.295   196.0
2014-01-10 03:00   0.194   184.0
2014-01-10 06:00   0.347   219.0
2014-01-10 09:00   0.191   203.0
2014-01-10 12:00   0.044   299.0
2014-01-10 15:00   0.117   326.0
2014-01-10 18:00   0.092    19.0
2014-01-10 21:00   0.259    37.0
2014-01-11 00:00   0.275    43.0
2014-01-11 03:00   0.464    36.0
2014-01-11 06:00   0.442    27.0
2014-01-11 09:00   0.322    24.0
2014-01-11 12:00   0.271    27.0
2014-01-11 15:00   0.184     6.0
2014-01-11 18:00   0.100   310.0
2014-01-11 21:00   0.068   132.0
2014-01-12 00:00   0.148    97.0
2014-01-12 03:00   0.115    91.0
2014-01-12 06:00   0.066   140.0
2014-01-12 09:00   0.226   205.0
2014-01-12 12:00   0.496   222.0
2014-01-12 15:00   0.736   220.0
2014-01-12 18:00   0.557   209.0
2014-01-12 21:00   0.172   153.0
2014-01-13 00:00   0.037   258.0
2014-01-13 03:00   0.309    35.0
2014-01-13 06:00   0.587    38.0
2014-01-13 09:00   0.774    31.0
2014-01-13 12:00   0.613    42.0
2014-01-13 15:00   0.510    41.0
2014-01-13 18:00   0.379    36.0
2014-01-13 21:00   0.291    16.0
2014-01-14 00:00   0.330    31.0
2014-01-14 03:00   0.400    57.0
2014-01-14 06:00   0.390    54.0
2014-01-14 09:00   0.413    39.0
2014-01-14 12:00   0.451    30.0
2014-01-14 15:00   0.205    29.0
2014-01-14 18:00   0.100    44.0
2014-01-14 21:00   0.124   118.0
2014-01-15 00:00   0.141   168.0
2014-01-15 03:00   0.344   202.0
2014-01-15 06:00   0.312   203.0
2014-01-15 09:00   0.352   211.0
2014-01-15 12:00   0.507   223.0
2014-01-15 15:00   0.595   225.0
2014-01-15 18:00   0.463   210.0
2014-01-15 21:00   0.346   205.0
2014-01-16 00:00   0.243   191.0
2014-01-16 03:00   0.195   184.0
2014-01-16 06:00   0.248   196.0
2014-01-16 09:00   0.263   224.0
2014-01-16 12:00   0.444   220.0
2014-01-16 15:00   0.387   208.0
2014-01-16 18:00   0.221   203.0
2014-01-16 21:00   0.164   183.0
2014-01-17 00:00   0.080   189.0
2014-01-17 03:00   0.131   201.0
2014-01-17 06:00   0.172   177.0
2014-01-17 09:00   0.203   212.0
2014-01-17 12:00   0.364   221.0
2014-01-17 15:00   0.492   225.0
2014-01-17 18:00   0.483   207.0
2014-01-17 21:00   0.229   190.0
2014-01-18 00:00   0.025    91.0
2014-01-18 03:00   0.153   224.0
2014-01-18 06:00   0.049   181.0
2014-01-18 09:00   0.105   272.0
2014-01-18 12:00   0.167   323.0
2014-01-18 15:00   0.038   339.0
2014-01-18 18:00   0.125    61.0
2014-01-18 21:00   0.278    46.0
2014-01-19 00:00   0.421    35.0
2014-01-19 03:00   0.335    40.0
2014-01-19 06:00   0.226    46.0
2014-01-19 09:00   0.216    39.0
2014-01-19 12:00   0.303    33.0
2014-01-19 15:00   0.235    24.0
2014-01-19 18:00   0.118    78.0
2014-01-19 21:00   0.068    90.0
2014-01-20 00:00   0.075   115.0
2014-01-20 03:00   0.073   133.0
2014-01-20 06:00   0.157   180.0
2014-01-20 09:00   0.257   222.0
2014-01-20 12:00   0.512   228.0
2014-01-20 15:00   0.711   221.0
2014-01-20 18:00   0.580   209.0
2014-01-20 21:00   0.202   180.0
